Vocab,Pinyin,Meaning
症状,zhèng zhuàng,symptom (of an illness)
之,zhī,"(possessive particle, literary equivalent of 的); him; her; it"
之后,zhī hòu,after; behind; (at the beginning of a sentence) afterwards; since then
之间,zhī jiān,"(after a noun) between; among; amid; (used after certain bisyllabic words to form expressions indicating a short period of time, e.g. 弹指之间)"
之类,zhī lèi,and so on; and such
之内,zhī nèi,inside; within
之前,zhī qián,before; prior to; ago; previously; beforehand
之所以,zhī suǒ yǐ,"(after a noun N and before a predicate P) the reason why N P; Example: 我之所以讨厌他 ""the reason why I dislike him (is ...)"""
之外,zhī wài,outside; excluding
之下,zhī xià,under; beneath; less than
之一,zhī yī,"one of (sth); one out of a multitude; one (third, quarter, percent etc)"
之中,zhī zhōng,inside; among; in the midst of (doing sth); during
支,Zhī,surname Zhi
支持,zhī chí,to be in favor of; to support; to back; support; backing; to stand by
支付,zhī fù,to pay (money)
汁,zhī,juice
知道,zhī dào,to know; to become aware of; also pr. [zhī dao]
知识,zhī shi,knowledge; intellectual
执法,zhí fǎ,to enforce a law; law enforcement
执行,zhí xíng,to implement; to carry out; to execute; to run
直,Zhí,"surname Zhi; Zhi (c. 2000 BC), fifth of the legendary Flame Emperors 帝 descended from Shennong 神农 Farmer God"
直播,zhí bō,"(TV, radio) to broadcast live; live broadcast; (Internet) to livestream; (agriculture) direct seeding"
直到,zhí dào,until
直接,zhí jiē,direct (opposite: indirect 间接); immediate; straightforward
值,zhí,value; (to be) worth; to happen to; to be on duty
值得,zhí de,to be worth; to deserve
职业,zhí yè,occupation; profession; vocation; professional
职责,zhí zé,duty; responsibility; obligation
植物,zhí wù,plant; vegetation
止,zhǐ,to stop; to prohibit; until; only
只,zhǐ,only; merely; just; but
只不过,zhǐ bu guò,only; merely; nothing but; no more than; it's just that ...
只好,zhǐ hǎo,to have no other option but to ...; to have to; to be forced to
只能,zhǐ néng,can only; obliged to do sth; to have no other choice
只是,zhǐ shì,merely; only; just; nothing but; simply; but; however
只要,zhǐ yào,if only; so long as
只有,zhǐ yǒu,"only have ...; there is only ...; (used in combination with 才) it is only if one ... (that one can ...) (Example: 只有通过治疗才能痊愈 ""the only way to cure it is with therapy""); it is only ... (who ...) (Example: 要 ""only men would have such a requirement""); (used to indicate that one has no alternative) one can only (do a certain thing) (Example: 服 ""the only thing you can do is give in"")"
纸,zhǐ,variant of 纸
指,zhǐ,finger; to point at or to; to indicate or refer to; to depend on; to count on; (of hair) to stand on end
指出,zhǐ chū,to indicate; to point out
指导,zhǐ dǎo,to guide; to give directions; to direct; to coach; guidance; tuition
指挥,zhǐ huī,to conduct; to command; to direct; conductor (of an orchestra)
指示,zhǐ shì,to point out; to indicate; to instruct; directives; instructions
至,zhì,to arrive; most; to; until
至今,zhì jīn,so far; to this day; until now
至少,zhì shǎo,at least; (to say the) least
至于,zhì yú,as for; as to; to go so far as to
制,zhì,system; to control; to regulate; variant of 制
制定,zhì dìng,to draw up; to formulate
制度,zhì dù,"system (e.g. political, adminstrative etc); institution"
制造,zhì zào,to manufacture; to make
制作,zhì zuò,to make; to manufacture
治,zhì,to rule; to govern; to manage; to control; to harness (a river); to treat (a disease); to wipe out (a pest); to punish; to research
治安,zhì ān,law and order; public security
治疗,zhì liáo,to treat (an illness); medical treatment; therapy
质量,zhì liàng,quality; (physics) mass
致,zhì,(bound form) fine; delicate; exquisite
智慧,zhì huì,wisdom; knowledge; intelligent; intelligence
置,zhì,to install; to place; to put; to buy
中,Zhōng,China; Chinese; surname Zhong
中国,Zhōng guó,China
中间,zhōng jiān,the middle; the inside; in the middle; within; between; among; during; in the meantime
中午,zhōng wǔ,noon; midday
中心,zhōng xīn,center; heart; core
中央,zhōng yāng,central; middle; center; central authorities (of a state)
终于,zhōng yú,at last; in the end; finally; eventually
钟,Zhōng,surname Zhong
肿瘤,zhǒng liú,tumor
种,zhǒng,"seed; species; kind; type; classifier for types, kinds, sorts"
重,chóng,to repeat; repetition; again; re-; classifier: layer
重大,zhòng dà,great; important; major; significant
重点,chóng diǎn,to recount (e.g. results of election); to re-evaluate
重复,chóng fù,to repeat; to duplicate
重视,zhòng shì,to attach importance to sth; to value
重新,chóng xīn,again; once more; re-
重要,zhòng yào,important; significant; major
州,zhōu,prefecture; (old) province; (old) administrative division; state (e.g. of US); oblast (Russia); canton (Switzerland)
周,Zhōu,surname Zhou; Zhou Dynasty (1046-256 BC)
周末,zhōu mò,weekend
周年,zhōu nián,anniversary; annual
周围,zhōu wéi,environs; surroundings; periphery
猪,zhū,hog; pig; swine
逐渐,zhú jiàn,gradually
主,zhǔ,owner; master; host; individual or party concerned; God; Lord; main; to indicate or signify; trump card (in card games)
主持,zhǔ chí,to take charge of; to manage or direct; to preside over; to uphold; to stand for (justice etc); to host (a TV or radio program etc); (TV) anchor
主持人,zhǔ chí rén,TV or radio presenter; host; anchor
主动,zhǔ dòng,to take the initiative; to do sth of one's own accord; spontaneous; active; opposite: passive 被动; drive (of gears and shafts etc)
主管,zhǔ guǎn,in charge; responsible for; person in charge; manager
主角,zhǔ jué,leading role; lead; protagonist
主人,zhǔ rén,master; host; owner
主任,zhǔ rèn,director; head
主题,zhǔ tí,theme; subject
主席,zhǔ xí,chairperson; premier; chairman
主要,zhǔ yào,main; principal; major; primary
主义,zhǔ yì,-ism; ideology
主意,zhǔ yi,plan; idea; decision; Beijing pr. [zhú yi]
煮,zhǔ,variant of 煮
住,zhù,"to live; to dwell; to stay; to reside; to stop; (suffix indicating firmness, steadiness, or coming to a halt)"
助理,zhù lǐ,assistant
注,zhù,to inject; to pour into; to concentrate; to pay attention; stake (gambling); classifier for sums of money; variant of 注
注册,zhù cè,to register; to enroll
注定,zhù dìng,to foreordain; to be bound to; to be destined to; to be doomed to; inevitably
注射,zhù shè,injection; to inject
注意,zhù yì,to take note of; to pay attention to
祝,Zhù,surname Zhu
祝福,zhù fú,blessings; to wish sb well
祝贺,zhù hè,to congratulate; congratulations
抓,zhuā,to grab; to catch; to arrest; to snatch; to scratch
抓紧,zhuā jǐn,to keep a firm grip on; to pay close attention to; to lose no time in (doing sth)
抓住,zhuā zhù,to grab hold of; to capture
专辑,zhuān jí,album; record (music); special collection of printed or broadcast material
专家,zhuān jiā,expert; specialist
专门,zhuān mén,specialist; specialized; customized
专业,zhuān yè,specialty; specialized field; main field of study (at university); major; professional
转,zhuǎi,see 转文
转变,zhuǎn biàn,to change; to transform; shift; transformation
转身,zhuǎn shēn,(of a person) to turn round; to face about; (of a widow) to remarry (archaic)
转移,zhuǎn yí,to shift; to relocate; to transfer; (fig.) to shift (attention); to change (the subject etc); (medicine) to metastasize
赚,zhuàn,to earn; to make a profit
赚钱,zhuàn qián,to earn money; moneymaking
装,zhuāng,adornment; to adorn; dress; clothing; costume (of an actor in a play); to play a role; to pretend; to install; to fix; to wrap (sth in a bag); to load; to pack
装备,zhuāng bèi,equipment; to equip; to outfit
装饰,zhuāng shì,to decorate; decoration; decorative; ornamental
装置,zhuāng zhì,to install; installation; equipment; system; unit; device
状况,zhuàng kuàng,condition; state; situation
状态,zhuàng tài,condition; state; state of affairs
撞,zhuàng,to knock against; to bump into; to run into; to meet by accident
追,duī,to sculpt; to carve; musical instrument (old)
追求,zhuī qiú,to pursue (a goal etc) stubbornly; to seek after; to woo
准,zhǔn,to allow; to grant; in accordance with; in the light of
准备,zhǔn bèi,preparation; to prepare; to intend; to be about to; reserve (fund)
准确,zhǔn què,accurate; exact; precise
桌子,zhuō zi,table; desk
咨询,zī xún,to consult; to seek advice; consultation; (sales) inquiry (formal)
资产,zī chǎn,property; assets
资格,zī gé,qualifications; seniority
资金,zī jīn,funds; capital
资料,zī liào,material; resources; data; information; profile (Internet)
资源,Zī yuán,"Ziyuan county in Guilin 林, Guangxi"
仔细,zǐ xì,careful; attentive; cautious; to be careful; to look out
字,zì,letter; symbol; character; word; courtesy or style name traditionally given to males aged 20 in dynastic China
自,zì,self; oneself; from; since; naturally; surely
自从,zì cóng,since (a time); ever since
自动,zì dòng,automatic; voluntarily
自己,zì jǐ,oneself; one's own
自然,zì rán,nature; natural; naturally
自杀,zì shā,to kill oneself; to commit suicide; to attempt suicide
自身,zì shēn,itself; oneself; one's own
自我,zì wǒ,self-; ego (psychology)
自信,zì xìn,to have confidence in oneself; self-confidence
自行车,zì xíng chē,bicycle; bike
自由,zì yóu,freedom; liberty; free; unrestricted
子,zǐ,"son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat; Viscount, fourth of five orders of nobility 位; ancient Chinese compass point: 0° (north); subsidiary; subordinate; sub-"
宗,Zōng,surname Zong
宗教,zōng jiào,religion
总,zǒng,general; overall; to sum up; in every case; always; invariably; anyway; after all; eventually; sooner or later; surely; (after a person's name) abbr. for 总经理 or 总编 etc
总部,zǒng bù,general headquarters
总是,zǒng shì,always
总统,zǒng tǒng,president (of a country)
总之,zǒng zhī,in a word; in short; in brief
走,zǒu,"to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 走); to change (shape, form, meaning)"
租,zū,to hire; to rent; to charter; to rent out; to lease out; rent; land tax
足,jù,excessive
足够,zú gòu,enough; sufficient
足球,zú qiú,soccer ball; a football; soccer; football
族,zú,"race; nationality; ethnicity; clan; by extension, social group (e.g. office workers 上班族)"
阻止,zǔ zhǐ,to prevent; to block
组,Zǔ,surname Zu
组成,zǔ chéng,to form; to make up; to constitute
组合,zǔ hé,to assemble; to combine; to compose; combination; association; set; compilation; (math.) combinatorial
组织,zǔ zhī,to organize; organization; (biology) tissue; (textiles) weave
钻,zuàn,variant of 钻
嘴,zuǐ,mouth; beak; nozzle; spout (of teapot etc)
最,zuì,variant of 最
最好,zuì hǎo,best; (you) had better (do what we suggest)
最后,zuì hòu,final; last; finally; ultimate
最佳,zuì jiā,"optimum; optimal; peak; best (athlete, movie etc)"
最近,zuì jìn,recently; soon; nearest
最终,zuì zhōng,final; ultimate
罪,zuì,guilt; crime; fault; blame; sin
醉,zuì,intoxicated
尊重,zūn zhòng,to esteem; to respect; to honor; to value; eminent; serious; proper
遵守,zūn shǒu,to comply with; to abide by; to respect (an agreement)
昨天,zuó tiān,yesterday
左,Zuǒ,surname Zuo
左右,zuǒ yòu,left and right; nearby; approximately; attendant; to control; to influence
作,zuō,worker; workshop; (slang) troublesome; high-maintenance (person)
作出,zuò chū,"to put out; to come up with; to make (a choice, decision, proposal, response, comment etc); to issue (a permit, statement, explanation, apology, reassurance to the public etc); to draw (conclusion); to deliver (speech, judgment); to devise (explanation); to extract"
作家,zuò jiā,author
作品,zuò pǐn,work (of art); opus
作为,zuò wéi,one's conduct; deed; activity; accomplishment; achievement; to act as; as (in the capacity of); qua; to view as; to look upon (sth as); to take sth to be
作业,zuò yè,school assignment; homework; work; task; operation; to operate
作用,zuò yòng,"to act on; to affect; action; function; activity; impact; result; effect; purpose; intent; (suffix) -ation, -tion etc, as in 用, inhibition"
作战,zuò zhàn,combat; to fight
作者,zuò zhě,author; writer
坐,Zuò,surname Zuo
坐下,zuò xia,to sit down
座,zuò,"seat; base; stand; (archaic) suffix used in a respectful form of address, e.g. 师座; classifier for buildings, mountains and similar immovable objects"
