Vocab,Pinyin,Meaning,Example,Example_Meaning
在场,zài chǎng,to be present; to be on the scene,他不在场。,He is not present.
在乎,zài hu,to care about; equivalent of 在于,我不在乎钱。,I don't care about money.
在家,zài jiā,to be at home; (at a workplace) to be in (as opposed to being away on official business 差); (Buddhism etc) to remain a layman (as opposed to becoming a monk or a nun 家),我今天在家。,I am at home today.
在于,zài yú,to be in; to lie in; to consist in; to depend on; to rest with,成功在于坚持。,Success lies in persistence.
咱,zán,variant of 咱,咱一起去吧。,Let's go together.
咱们,zán men,we or us (including both the speaker and the person(s) spoken to); (dialect) I or me; (dialect) (in a coaxing or familiar way) you; also pr. [zá men],咱们走吧。,Let's go.
暂时,zàn shí,temporary; provisional; for the time being,我暂时住在这里。,I am staying here temporarily.
遭到,zāo dào,to suffer; to meet with (sth unfortunate),他遭到了批评。,He was criticized.
遭遇,zāo yù,to meet with; to encounter; (bitter) experience,我遭遇了意外。,I encountered an accident.
糟糕,zāo gāo,too bad; how terrible; what bad luck; terrible; bad,糟糕，我迟到了。,"Oh no, I'm late."
早,zǎo,early; morning; Good morning!; long ago; prematurely,你起得很早。,You get up very early.
早餐,zǎo cān,breakfast,我想吃早餐。,I want to eat breakfast.
早晨,zǎo chén,early morning; also pr. [zǎo chen],早晨喝杯咖啡吧。,Have a coffee in the morning.
早就,zǎo jiù,already at an earlier time,我早就知道了。,I already knew.
早上,zǎo shang,early morning,你早上几点起？,What time do you wake up in the morning?
造,zào,to make; to build; to manufacture; to invent; to fabricate; to go to; party (in a lawsuit or legal agreement); crop; classifier for crops,他造了一座桥。,He built a bridge.
造成,zào chéng,to bring about; to create; to cause,熬夜造成头痛。,Staying up late causes headaches.
造型,zào xíng,to model; to shape; appearance; style; design; form; pose,这个造型不错。,This style looks good.
则,zé,(literary) (conjunction used to express contrast with a previous clause) but; then; (bound form) standard; norm; (bound form) principle; (literary) to imitate; to follow; classifier for written items,如果下雨，则取消。,"If it rains, then cancel."
责任,zé rèn,responsibility; blame; duty,这是我的责任。,This is my responsibility.
贼,zéi,thief; traitor; wily; deceitful; evil; extremely,今天天气贼冷。,Today is extremely cold.
怎么,zěn me,how?; what?; why?,你怎么去？,How do you get there?
怎么办,zěn me bàn,what's to be done,手机没电了，怎么办？,My phone died. What should I do?
怎么样,zěn me yàng,how?; how about?; how was it?; how are things?,你觉得怎么样？,What do you think?
怎样,zěn yàng,how; what kind,你觉得怎样？,What do you think?
增加,zēng jiā,to raise; to increase,价格增加了。,The price increased.
增长,zēng zhǎng,to grow; to increase,工资增长了。,The salary increased.
扎,zhā,"to prick; to run or stick (a needle etc) into; mug or jug used for serving beer (loanword from ""jar"")",他不小心扎了手。,He accidentally pricked his hand.
炸,zhá,to deep fry; Taiwan pr. [zhà],今天炸鱼吗？,Are we deep-frying fish today?
炸弹,zhà dàn,bomb,别碰那个炸弹。,Don't touch that bomb.
粘,nián,variant of 黏,这糖很粘。,This candy is very sticky.
展开,zhǎn kāi,to unfold; to spread out; to open up; to launch; to carry out,我们展开讨论吧。,Let's start a discussion.
展示,zhǎn shì,to reveal; to display; to show; to exhibit,请展示你的作品。,Please show your work.
展现,zhǎn xiàn,to unfold before one's eyes; to emerge; to reveal; to display,照片展现了她的笑容。,The photo shows her smile.
占,zhàn,variant of 占,这箱子占地方。,This box takes up space.
战斗,zhàn dòu,to fight; to engage in combat; struggle; battle,我们一起战斗吧。,Let's fight together.
战略,zhàn lu:è,strategy,我们的战略是什么？,What is our strategy?
战胜,zhàn shèng,to prevail over; to defeat; to surmount,我们要战胜困难。,We must overcome difficulties.
战士,zhàn shì,fighter; soldier; warrior,我想当一名战士。,I want to be a soldier.
战争,zhàn zhēng,war; conflict,我们讨厌战争。,We hate war.
站,zhàn,station; to stand; to halt; to stop; branch of a company or organization; website,我们在车站见。,Let's meet at the station.
张,Zhāng,surname Zhang,我姓张。,My surname is Zhang.
章,Zhāng,surname Zhang,我姓章。,My surname is Zhang.
长,cháng,length; long; forever; always; constantly,这条路很长。,This road is very long.
长大,zhǎng dà,to grow up,我想快点长大。,I want to grow up soon.
长期,cháng qī,long term; long time; long range (of a forecast),他长期住在这里。,He has lived here for a long time.
掌握,zhǎng wò,"to grasp (often fig.); to control; to seize (initiative, opportunity, destiny); to master; to know well; to understand sth well and know how to use it; fluency",他很快掌握了中文。,He quickly mastered Chinese.
丈夫,zhàng fu,husband,她丈夫是医生。,Her husband is a doctor.
账户,zhàng hù,bank account; online account,我的账户没钱了。,My account has no money.
障碍,zhàng ài,barrier; obstruction; hindrance; impediment; obstacle,语言不是障碍。,Language isn't a barrier.
招,zhāo,to recruit; to provoke; to beckon; to incur; to infect; contagious; a move (chess); a maneuver; device; trick; to confess,这招真管用。,This trick really works.
找,zhǎo,to try to find; to look for; to call on sb; to find; to seek; to return; to give change,我在找钥匙。,I'm looking for my keys.
找到,zhǎo dào,to find,我找到钥匙了。,I found the key.
照,zhào,variant of 照; to shine; to illuminate,太阳照着我。,The sun shines on me.
照顾,zhào gu,to take care of; to show consideration; to attend to; to look after,请照顾好自己。,Please take good care of yourself.
照片,zhào piàn,photograph; picture,我喜欢这张照片。,I like this photo.
折,shé,"to snap; to break (a stick, a bone etc); (bound form) to sustain a loss (in business)",树枝折了。,The branch snapped.
折磨,zhé mó,to torment; to torture,别折磨自己了。,Don't torment yourself anymore.
者,zhě,"(after a verb or adjective) one who (is) ...; (after a noun) person involved in ...; -er; -ist; (used after a number or 后 or 前 to refer to sth mentioned previously); (used after a term, to mark a pause before defining the term); (old) (used at the end of a command); (old) this",他是这本书的作者。,He is the author of this book.
这,zhè,"(pronoun) this; these; (bound form) this; the (followed by a noun); (bound form) this; these (followed by a classifier) (in this sense, commonly pr. [zhèi], esp. in Beijing)",这是什么？,What is this?
这边,zhè biān,this side; here,我坐这边。,I'll sit here.
这儿,zhè r,here,我在这儿等你。,I am waiting for you here.
这里,zhè lǐ,variant of 这里,我喜欢这里。,I like it here.
这么,zhè me,so much; this much; how much?; this way; like this,今天这么冷！,It's so cold today!
这时,zhè shí,at this time; at this moment,这时我饿了。,"At this moment, I'm hungry."
这些,zhè xiē,these,这些书是我的。,These books are mine.
这样,zhè yàng,this kind of; so; this way; like this; such,请这样做。,Please do it like this.
着,zhāo,(chess) move; trick; all right!; (dialect) to add,这招真着！,This trick is great!
著名,zhù míng,famous; noted; well-known; celebrated,他是著名作家。,He is a famous writer.
针,zhēn,needle; pin; injection; stitch,我有一根针。,I have a needle.
针对,zhēn duì,to target; to focus on; to be aimed at or against; in response to,针对这个问题，我们有办法。,"Regarding this problem, we have a solution."
珍惜,zhēn xī,to treasure; to value; to cherish,我们要珍惜时间。,We should cherish time.
真,zhēn,really; truly; indeed; real; true; genuine,今天真冷。,It's really cold today.
真的,zhēn de,"really, truly, indeed",我真的很开心。,I am really happy.
真实,zhēn shí,true; real,这是真实的故事。,This is a true story.
真相,zhēn xiàng,the truth about sth; the actual facts,请告诉我真相。,Please tell me the truth.
真心,zhēn xīn,sincere; heartfelt,我是真心的。,I mean it.
真正,zhēn zhèng,genuine; real; true; really; indeed,他是个真正的朋友。,He is a true friend.
诊断,zhěn duàn,to diagnose,医生能诊断我的病吗？,Can the doctor diagnose my illness?
阵,zhèn,disposition of troops; wave; spate; burst; spell; short period of time; classifier for events or states of short duration,下了一阵雨。,It rained for a short while.
镇,zhèn,to press down; to calm; to subdue; to suppress; to guard; garrison; small town; to cool or chill (food or drinks),我住在小镇上。,I live in a small town.
震惊,zhèn jīng,to shock; to astonish,消息让我很震惊。,The news really shocked me.
争,zhēng,to strive for; to vie for; to argue or debate; deficient or lacking (dialect); how or what (literary),别争了，听我的。,"Stop arguing, listen to me."
争取,zhēng qǔ,to fight for; to strive for; to win over,我争取早点到。,I'll try to arrive early.
整,zhěng,exactly; in good order; whole; complete; entire; in order; orderly; to repair; to mend; to renovate; (coll.) to fix sb; to give sb a hard time; to mess with sb,他吃了整个苹果。,He ate the whole apple.
整个,zhěng gè,whole; entire; total,我花了整个下午。,I spent the whole afternoon.
整理,zhěng lǐ,"to arrange; to tidy up; to sort out; to straighten out; to list systematically; to collate (data, files); to pack (luggage)",我要整理房间。,I need to tidy up my room.
整天,zhěng tiān,all day long; whole day,他整天玩手机。,He plays with his phone all day long.
正,zhēng,first month of the lunar year,我们正月见。,See you in the first lunar month.
正常,zhèng cháng,regular; normal; ordinary,一切正常。,Everything is normal.
正好,zhèng hǎo,just (in time); just right; just enough; to happen to; to chance to; by chance; it just so happens that,我正好有空。,I happen to be free.
正确,zhèng què,correct; sound; right; proper,你的答案正确。,Your answer is correct.
正式,zhèng shì,formal; official,明天是正式会议。,Tomorrow is a formal meeting.
正是,zhèng shì,is precisely,这正是我想要的。,This is precisely what I want.
正在,zhèng zài,just at (that time); right in (that place); right in the middle of (doing sth),我正在吃饭。,I am eating.
证,zhèng,to admonish; variant of 证,我有工作证。,I have my work ID.
证据,zhèng jù,evidence; proof; testimony,你有证据吗？,Do you have evidence?
证明,zhèng míng,proof; certificate; identification; testimonial; to prove; to testify; to confirm the truth of,我需要一份证明。,I need a certificate.
证实,zhèng shí,to confirm (sth to be true); to verify,这证实了我的猜测。,This confirmed my guess.
政策,zhèng cè,policy,公司有新政策吗？,Does the company have a new policy?
