Vocab,Pinyin,Meaning,Example,Example_Meaning,Image
造成,zào chéng,to bring about; to create; to cause,熬夜造成头痛。,Staying up late causes headaches.,
造型,zào xíng,to model; to shape,这个造型不错。,This style looks good.,
则,zé,but; then,如果下雨，则取消。,"If it rains, then cancel.",
责任,zé rèn,responsibility; duty; liability,这是我的责任。,This is my responsibility.,
贼,zéi,thief; robber,今天天气贼冷。,Today is extremely cold.,"<img src=""thief.jpg"" />"
怎么,zěn me,how?,你怎么去？,How do you get there?,
怎么办,zěn me bàn,what's to be done,手机没电了，怎么办？,My phone died. What should I do?,
怎么样,zěn me yàng,how?,你觉得怎么样？,What do you think?,
怎样,zěn yàng,how,你觉得怎样？,What do you think?,
增加,zēng jiā,to raise; to increase,价格增加了。,The price increased.,"<img src=""increase.jpg"" />"
增长,zēng zhǎng,to grow; to increase,工资增长了。,The salary increased.,
扎,zhā,to prick,他不小心扎了手。,He accidentally pricked his hand.,
炸,zhá,to deep fry,今天炸鱼吗？,Are we deep-frying fish today?,
炸弹,zhà dàn,bomb,别碰那个炸弹。,Don't touch that bomb.,"<img src=""bomb.jpg"" />"
展开,zhǎn kāi,to unfold; to spread out; to open up,我们展开讨论吧。,Let's start a discussion.,
展示,zhǎn shì,to reveal; to display; to show; to exhibit,请展示你的作品。,Please show your work.,"<img src=""exhibit.jpg"" />"
展现,zhǎn xiàn,to unfold before one's eyes; to emerge; to reveal; to display,照片展现了她的笑容。,The photo shows her smile.,"<img src=""reveal.jpg"" />"
战斗,zhàn dòu,to fight,我们一起战斗吧。,Let's fight together.,
战略,zhàn lu:è,strategy,我们的战略是什么？,What is our strategy?,
战胜,zhàn shèng,to prevail over,我们要战胜困难。,We must overcome difficulties.,"<img src=""prevail.jpg"" />"
战士,zhàn shì,fighter,我想当一名战士。,I want to be a soldier.,
战争,zhàn zhēng,war; conflict,我们讨厌战争。,We hate war.,"<img src=""war.jpg"" />"
站,zhàn,station,我们在车站见。,Let's meet at the station.,
长,cháng,long,这条路很长。,This road is very long.,
长大,zhǎng dà,to grow up,我想快点长大。,I want to grow up soon.,
长期,cháng qī,long-term; for a protracted period,他长期住在这里。,He has lived here for a long time.,"<img src=""term.jpg"" />"
掌握,zhǎng wò,to grasp (often fig.),他很快掌握了中文。,He quickly mastered Chinese.,"<img src=""often.jpg"" />"
丈夫,zhàng fu,husband,她丈夫是医生。,Her husband is a doctor.,
账户,zhàng hù,"(bank, computer etc) account",我的账户没钱了。,My account has no money.,
障碍,zhàng ài,barrier,语言不是障碍。,Language isn't a barrier.,"<img src=""barrier.jpg"" />"
招,zhāo,to recruit,这招真管用。,This trick really works.,"<img src=""recruit.jpg"" />"
找,zhǎo,to try to find,我在找钥匙。,I'm looking for my keys.,
找到,zhǎo dào,to find,我找到钥匙了。,I found the key.,
照顾,zhào gu,to take care of,请照顾好自己。,Please take good care of yourself.,
照片,zhào piàn,photograph,我喜欢这张照片。,I like this photo.,
折,shé,to snap,树枝折了。,The branch snapped.,"<img src=""snap.jpg"" />"
折磨,zhé mó,to torment; to torture,别折磨自己了。,Don't torment yourself anymore.,"<img src=""torment.jpg"" />"
者,zhě,(after a verb or adjective) one who (is) ...,他是这本书的作者。,He is the author of this book.,
这,zhè,this; these,这是什么？,What is this?,
这边,zhè biān,this side,我坐这边。,I'll sit here.,
这儿,zhè r,here,我在这儿等你。,I am waiting for you here.,
这么,zhè me,so much,今天这么冷！,It's so cold today!,
这时,zhè shí,at this time,这时我饿了。,"At this moment, I'm hungry.",
这些,zhè xiē,these,这些书是我的。,These books are mine.,
这样,zhè yàng,this way; like this; so,请这样做。,Please do it like this.,
著名,zhù míng,famous,他是著名作家。,He is a famous writer.,"<img src=""famous.jpg"" />"
针,zhēn,needle,我有一根针。,I have a needle.,"<img src=""needle.jpg"" />"
针对,zhēn duì,to target; to focus on; to be aimed at or against; in response to,针对这个问题，我们有办法。,"Regarding this problem, we have a solution.","<img src=""response.jpg"" />"
珍惜,zhēn xī,to treasure,我们要珍惜时间。,We should cherish time.,"<img src=""treasure.jpg"" />"
真,zhēn,really,今天真冷。,It's really cold today.,
真的,zhēn de,really; truly; indeed,我真的很开心。,I am really happy.,
真实,zhēn shí,true; real,这是真实的故事。,This is a true story.,"<img src=""real.jpg"" />"
真相,zhēn xiàng,the truth about sth; the actual facts,请告诉我真相。,Please tell me the truth.,"<img src=""actual.jpg"" />"
真心,zhēn xīn,wholeheartedness; sincerity,我是真心的。,I mean it.,
真正,zhēn zhèng,genuine; real; true,他是个真正的朋友。,He is a true friend.,
诊断,zhěn duàn,to diagnose,医生能诊断我的病吗？,Can the doctor diagnose my illness?,"<img src=""diagnose.jpg"" />"
阵,zhèn,disposition of troops,下了一阵雨。,It rained for a short while.,
镇,zhèn,to press down,我住在小镇上。,I live in a small town.,
震惊,zhèn jīng,to shock,消息让我很震惊。,The news really shocked me.,
争,zhēng,to strive for,别争了，听我的。,"Stop arguing, listen to me.",
争取,zhēng qǔ,to fight for,我争取早点到。,I'll try to arrive early.,
整,zhěng,whole; complete; entire,他吃了整个苹果。,He ate the whole apple.,"<img src=""entire.jpg"" />"
整个,zhěng gè,whole,我花了整个下午。,I spent the whole afternoon.,
整理,zhěng lǐ,to arrange,我要整理房间。,I need to tidy up my room.,
整天,zhěng tiān,all day long,他整天玩手机。,He plays with his phone all day long.,
正,zhēng,first month of the lunar year,我们正月见。,See you in the first lunar month.,
正常,zhèng cháng,normal; regular,一切正常。,Everything is normal.,
正好,zhèng hǎo,just (in time),我正好有空。,I happen to be free.,
正确,zhèng què,correct; sound; right; proper,你的答案正确。,Your answer is correct.,"<img src=""proper.jpg"" />"
正式,zhèng shì,formal; official,明天是正式会议。,Tomorrow is a formal meeting.,"<img src=""formal.jpg"" />"
正是,zhèng shì,is precisely,这正是我想要的。,This is precisely what I want.,
正在,zhèng zài,to be in the process of (doing sth); to be currently ...-ing,我正在吃饭。,I am eating.,
证,zhèng,to admonish,我有工作证。,I have my work ID.,"<img src=""admonish.jpg"" />"
证据,zhèng jù,evidence,你有证据吗？,Do you have evidence?,"<img src=""evidence.jpg"" />"
证明,zhèng míng,proof,我需要一份证明。,I need a certificate.,"<img src=""proof.jpg"" />"
证实,zhèng shí,to confirm (sth to be true),这证实了我的猜测。,This confirmed my guess.,
政策,zhèng cè,policy,公司有新政策吗？,Does the company have a new policy?,
政府,zhèng fǔ,government,政府帮了我们。,The government helped us.,
政治,zhèng zhì,politics,我喜欢政治。,I like politics.,
症状,zhèng zhuàng,symptom (of an illness),你的症状是什么？,What are your symptoms?,"<img src=""symptom.jpg"" />"
之后,zhī hòu,after; behind,下课之后，我回家。,"After class, I go home.",
之间,zhī jiān,(after a noun) between; among; amid,你我之间没秘密。,There are no secrets between you and me.,"<img src=""amid.jpg"" />"
之类,zhī lèi,and so on,我想买点水果之类吧。,I want to buy some fruits and such.,
之内,zhī nèi,inside; within,三天之内做完。,Finish it within three days.,"<img src=""within.jpg"" />"
之前,zhī qián,before,我之前不知道。,I didn't know before.,
之所以,zhī suǒ yǐ,(after a noun N and before a predicate P) the reason why N P,我之所以迟到，堵车了。,The reason I was late is the traffic.,
之外,zhī wài,outside,工作之外我喜欢运动。,"Outside of work, I like sports.",
之下,zhī xià,under,桌子之下有只猫。,There is a cat under the table.,
之一,zhī yī,one of (sth),他是我的同学之一。,He is one of my classmates.,
之中,zhī zhōng,inside,我们之中选一个吧。,Let's pick one among us.,
支持,zhī chí,to be in favor of,我支持你。,I support you.,
支付,zhī fù,to pay (money),怎么支付？,How do I pay?,
汁,zhī,juice,我想喝果汁。,I want to drink some juice.,
知道,zhī dào,to know; to become aware of,我知道答案。,I know the answer.,"<img src=""aware.jpg"" />"
知识,zhī shi,knowledge,知识很有用。,Knowledge is very useful.,"<img src=""knowledge.jpg"" />"
执法,zhí fǎ,to enforce a law,警察正在执法。,The police are enforcing the law.,"<img src=""enforce.jpg"" />"
执行,zhí xíng,to implement,我们执行吧。,Let's carry it out.,
直播,zhí bō,"(TV, radio) to broadcast live",我喜欢看直播。,I like watching livestreams.,
直到,zhí dào,until,我工作直到深夜。,I worked until late night.,
直接,zhí jiē,direct ,请直接告诉我。,Please tell me directly.,"<img src=""direct.jpg"" />"
值,zhí,value,这书值多少钱？,How much is this book worth?,"<img src=""value.jpg"" />"
值得,zhí de,worth the money,这本书值得看。,This book is worth reading.,
职业,zhí yè,occupation; profession; vocation,你的职业是什么？,What is your profession?,"<img src=""occupation.jpg"" />"
职责,zhí zé,duty,这是我的职责。,This is my duty.,
植物,zhí wù,plant,这盆植物很漂亮。,This potted plant is very pretty.,
止,zhǐ,to stop,到此为止。,Stop here.,
只不过,zhǐ bu guò,only; merely; nothing but; no more than,他只不过是个新手。,He is just a beginner.,
只好,zhǐ hǎo,to have no other option but to ...; to have to; to be forced to,雨太大，我只好回家。,"The rain was too heavy, so I had to go home.",
只能,zhǐ néng,can only,我今天只能在家。,I can only stay home today.,
只是,zhǐ shì,merely; only; just; nothing but,我只是看看。,I'm just looking.,
只要,zhǐ yào,so long as; provided; if,只要你开心就好。,"As long as you're happy, that's fine.",
只有,zhǐ yǒu,only have ...; there is only ...,这里只有我一个人。,There is only me here.,
指,zhǐ,finger,我指给你看。,I'll point it out to you.,
指出,zhǐ chū,to indicate,老师指出了错误。,The teacher pointed out the mistake.,"<img src=""indicate.jpg"" />"
指导,zhǐ dǎo,to guide; to direct; to instruct,谢谢你的指导。,Thank you for your guidance.,"<img src=""instruct.jpg"" />"
指挥,zhǐ huī,to conduct,他指挥乐队。,He conducts the orchestra.,
指示,zhǐ shì,to point out,按指示做就行。,Just follow the instructions.,
至,zhì,to arrive,我们至少五个。,We have at least five.,
至今,zhì jīn,so far,他至今没回信。,He still hasn't replied.,
至少,zhì shǎo,at least,至少吃一个吧。,At least eat one.,
至于,zhì yú,as for,至于明天，再说吧。,"As for tomorrow, we'll see.",
制,zhì,system,制度很好。,The system is good.,
制定,zhì dìng,to draw up; to formulate,我们制定计划吧。,Let's make a plan.,
制度,zhì dù,"system (e.g. political, adminstrative etc)",这个制度很好。,This system is very good.,
制造,zhì zào,to manufacture; to make,工厂制造手机。,The factory makes phones.,
制作,zhì zuò,to make; to manufacture,我喜欢制作蛋糕。,I like making cakes.,
治,zhì,to rule,他治好了感冒。,He cured the cold.,
治安,zhì ān,law and order,这里治安很好。,Public security here is very good.,
治疗,zhì liáo,to treat (an illness),这病能治疗吗？,Can this illness be treated?,
质量,zhì liàng,(physics) mass,这衣服质量很好。,The quality of these clothes is very good.,"<img src=""physics.jpg"" />"
致,zhì,(bound form) fine; delicate; exquisite,这礼物真精致。,This gift is really exquisite.,"<img src=""delicate.jpg"" />"
智慧,zhì huì,wisdom; intelligence,他很有智慧。,He is very wise.,
置,zhì,to install,我们购置了新沙发。,We bought a new sofa.,
中,Zhōng,(bound form) China; Chinese,我在中国。,I am in China.,
中国,Zhōng guó,China,我喜欢中国。,I like China.,
中间,zhōng jiān,the middle; the inside,他在中间坐着。,He sits in the middle.,"<img src=""middle.jpg"" />"
中午,zhōng wǔ,noon,我们中午吃饭。,We eat lunch at noon.,
中心,zhōng xīn,center; heart; core,市中心很热闹。,The city center is very lively.,"<img src=""center.jpg"" />"
中央,zhōng yāng,central,我们在中央等你。,We are waiting for you in the center.,
终于,zhōng yú,at last,我终于到家了。,I'm finally home.,
肿瘤,zhǒng liú,tumor,他得了肿瘤。,He has a tumor.,
种,zhǒng,seed,这是哪种水果？,What kind of fruit is this?,"<img src=""seed.jpg"" />"
重,chóng,to repeat,我们重来一次。,Let's start over.,
重大,zhòng dà,great,这是重大决定。,This is a major decision.,
重点,chóng diǎn,to recount (e.g. results of election),我们重点讨论。,We focus on the key points.,
重复,chóng fù,to repeat,请重复一下。,Please repeat it.,
重视,zhòng shì,to attach importance to sth; to value,我们要重视健康。,We should value our health.,"<img src=""attach.jpg"" />"
重新,chóng xīn,again; once more; re-,请重新说一遍。,Please say it again.,
重要,zhòng yào,important; significant; major,这件事很重要。,This is very important.,"<img src=""significant.jpg"" />"
州,zhōu,prefecture,美国有五十个州。,The US has fifty states.,
周末,zhōu mò,weekend,你周末忙吗？,Are you busy on the weekend?,
周年,zhōu nián,anniversary,明天是一周年。,Tomorrow is our first anniversary.,"<img src=""anniversary.jpg"" />"
